category,imagery,classic_line,author,dynasty,novel_usage,emotion,scene_type
意象,月,举头望明月,李白,唐,角色仰望天空时的内心独白，替代"他看着月亮想家了",思乡,月夜
意象,月,海上生明月,张九龄,唐,写角色远望海面月光，替代"月亮升起来了",孤独,月夜
意象,月,明月几时有,苏轼,宋,角色对天发问的哲思时刻，替代"他感叹时光流逝",壮志,月夜
意象,月,月落乌啼霜满天,张继,唐,写深夜失眠听到远处声响，替代"夜深了，他睡不着",孤独,月夜
意象,月,今夜月明人尽望,王建,唐,写众人同望一轮月的集体情绪，替代"大家都在看月亮",思乡,月夜
意象,月,床前明月光,李白,唐,角色半夜醒来看到月光，替代"他半夜醒了，月光照进来",思乡,月夜
意象,风,大风起兮云飞扬,刘邦,汉,写气势磅礴的开场或决断时刻，替代"风很大，他下定决心了",壮志,战场
意象,风,春风又绿江南岸,王安石,宋,写季节变换触发的归乡念头，替代"春天来了，他想回家了",思乡,雨景
意象,风,风萧萧兮易水寒,荆轲,先秦,写赴死或赴险前的悲壮氛围，替代"他要去执行危险任务了",悲愤,战场
意象,风,夜来风雨声,孟浩然,唐,写角色辗转时听到窗外风声，替代"晚上刮风下雨了",孤独,雨景
意象,风,长风破浪会有时,李白,唐,角色在低谷中重燃信念，替代"他相信总有一天会成功",壮志,战场
意象,风,风吹草低见牛羊,北朝民歌,南北朝,写辽阔场景的壮美，替代"草原很辽阔",壮志,雪景
意象,雨,好雨知时节,杜甫,唐,写恰到好处的转机或帮助到来，替代"雨下得正是时候",壮志,雨景
意象,雨,清明时节雨纷纷,杜牧,唐,写祭奠或追忆场景的阴郁氛围，替代"清明节下雨了",悲愤,雨景
意象,雨,夜阑卧听风吹雨,陆游,宋,写老者或病者夜半听雨的壮心不已，替代"他躺在床上听雨声",壮志,雨景
意象,雨,渭城朝雨浥轻尘,王维,唐,写清晨送别时雨后清新的氛围，替代"早上下了点雨",离别,雨景
意象,雨,黑云翻墨未遮山,苏轼,宋,写暴雨将至的压迫感，替代"天突然暗了下来",悲愤,雨景
意象,雨,空山新雨后,王维,唐,写雨后山间的清寂氛围，替代"雨停了，山里很安静",孤独,雨景
意象,雪,忽如一夜春风来,岑参,唐,写突如其来的惊艳变化或转机，替代"突然一切都变了",壮志,雪景
意象,雪,窗含西岭千秋雪,杜甫,唐,写从窗口远眺雪山的辽阔感，替代"远处有雪山",孤独,雪景
意象,雪,孤舟蓑笠翁,柳宗元,唐,写一个人在恶劣环境中独自坚持，替代"他一个人在风雪中",孤独,雪景
意象,雪,北风卷地白草折,岑参,唐,写极寒环境中的行军或赶路，替代"天很冷，风很大",悲愤,雪景
意象,雪,梅须逊雪三分白,卢梅坡,宋,写两种优秀事物各有千秋的比较，替代"各有各的好",壮志,雪景
意象,雪,千山鸟飞绝,柳宗元,唐,写极度寂静空旷的环境，替代"周围一个人都没有",孤独,雪景
意象,花,人面桃花相映红,崔护,唐,写初见时惊艳的面容与花交映，替代"她笑起来很好看",爱情,雨景
意象,花,落红不是无情物,龚自珍,清,写牺牲或离别中的深情，替代"虽然分开了但还是在乎",离别,雨景
意象,花,感时花溅泪,杜甫,唐,写乱世中看到花开反而悲伤，替代"他看着花很难过",悲愤,雨景
意象,花,接天莲叶无穷碧,杨万里,宋,写大片花海的壮观视觉，替代"荷花很多很漂亮",壮志,雨景
意象,花,零落成泥碾作尘,陆游,宋,写即使被毁灭也不改本心的坚守，替代"他虽然失败了但没放弃",壮志,雪景
意象,花,待到山花烂漫时,毛泽东,近现代,写苦尽甘来的胜利时刻，替代"终于成功了",壮志,雪景
意象,剑,十年磨一剑,贾岛,唐,写长期准备后的出鞘时刻，替代"他准备了很久终于出手",壮志,战场
意象,剑,醉里挑灯看剑,辛弃疾,宋,战士深夜失眠看武器，替代"他看着剑想起了战场",悲愤,月夜
意象,剑,剑气纵横三万里,古龙,近现代,写绝世高手出剑的震撼场面，替代"他的剑法很强",壮志,战场
意象,剑,拔剑四顾心茫然,李白,唐,写有能力却找不到方向的迷茫，替代"他很厉害但不知道该怎么办",孤独,战场
意象,剑,一剑霜寒十四州,贯休,唐,写一击定乾坤的绝对压制力，替代"他一剑就赢了",壮志,战场
意象,剑,剑外忽传收蓟北,杜甫,唐,写等待已久的好消息突然传来，替代"终于有好消息了",壮志,战场
意象,酒,对酒当歌,曹操,汉,写豪迈中带着苍凉的饮酒场景，替代"他喝着酒感慨人生",壮志,月夜
意象,酒,举杯邀明月,李白,唐,写独自饮酒时与天地对话的孤高，替代"他一个人喝酒",孤独,月夜
意象,酒,葡萄美酒夜光杯,王翰,唐,写战前豪饮的壮烈氛围，替代"出征前大家喝酒",壮志,战场
意象,酒,把酒问青天,苏轼,宋,写酒后追问命运或天道的时刻，替代"他喝醉了问天",壮志,月夜
意象,酒,醉卧沙场君莫笑,王翰,唐,写战场上视死如归的豪迈，替代"他不怕死",壮志,战场
意象,酒,今朝有酒今朝醉,罗隐,唐,写及时行乐的洒脱或无奈，替代"管他呢先喝了再说",孤独,月夜
意象,山,会当凌绝顶,杜甫,唐,写登顶的雄心壮志，替代"他决心要爬到最高",壮志,雪景
意象,山,不识庐山真面目,苏轼,宋,写身处其中看不清全局的困惑，替代"他看不清局势",孤独,雨景
意象,山,远上寒山石径斜,杜牧,唐,写深山行路的孤寂感，替代"他在山路上走",孤独,雪景
意象,山,空山新雨后,王维,唐,写山中雨后的空灵静谧，替代"山里很安静",孤独,雨景
意象,山,千山鸟飞绝,柳宗元,唐,写群山间的极致空旷，替代"山里什么都没有",孤独,雪景
意象,山,采菊东篱下,陶渊明,晋,写归隐后的闲适自得，替代"他过上了平静的生活",孤独,雨景
意象,水,黄河之水天上来,李白,唐,写气势恢宏的壮观场面，替代"水流很大很壮观",壮志,战场
意象,水,大江东去,苏轼,宋,写时光不可逆的苍凉感慨，替代"时间一去不回",悲愤,战场
意象,水,抽刀断水水更流,李白,唐,写越想摆脱越摆脱不了的无奈，替代"他越想忘记越忘不掉",悲愤,雨景
意象,水,飞流直下三千尺,李白,唐,写瀑布或急流的壮观，替代"瀑布很高很大",壮志,雨景
意象,水,问君能有几多愁,李煜,五代,写愁绪如水般绵延不绝，替代"他很悲伤",悲愤,雨景
意象,水,行到水穷处,王维,唐,写绝境中意外转机的从容，替代"走投无路时突然有了希望",孤独,雨景
